sim_names,omega 1,omega 2,omega 3,omega 1 prop,omega 2 prop,omega 3 prop,N_mom2,N_mean,NRV,alpha 1,alpha 2,alpha 3,alpha 1 prop,alpha 2 prop,alpha 3 prop,S_mom2,S_mean,SRV,normalizer
med,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.4788,1.196,3.301,0.3045,0.5441,0.1514,2.497841191,1.2963096,0.6974524215,1.645062737
medo1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.4788,1.196,3.301,0.3045,0.5441,0.1514,2.497841191,1.2963096,0.6974524215,1.645062737
medo6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.4788,1.196,3.301,0.3045,0.5441,0.1514,2.497841191,1.2963096,0.6974524215,1.645062737
higho3,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.4788,1.196,3.301,0.3045,0.5441,0.1514,2.497841191,1.2963096,0.6974524215,1.645062737
lowerCV,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,1,3,8,0.1,0.7,0.2,19.2,3.8,0.5741427429,4.15
lowerCVo13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,1,3,8,0.1,0.7,0.2,19.2,3.8,0.5741427429,4.15
lowerCVo1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,1,3,8,0.1,0.7,0.2,19.2,3.8,0.5741427429,4.15
lowerCVo6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,1,3,8,0.1,0.7,0.2,19.2,3.8,0.5741427429,4.15
higherCV,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.4885855,1.181344,3.740057,0.4657544,0.4458628,0.0883828,1.96971824,1.0848349,0.8207904077,1.616183794
higherCVo13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.4885855,1.181344,3.740057,0.4657544,0.4458628,0.0883828,1.96971824,1.0848349,0.8207904077,1.616183794
higherCVo1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.4885855,1.181344,3.740057,0.4657544,0.4458628,0.0883828,1.96971824,1.0848349,0.8207904077,1.616183794
higherCVo6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.4885855,1.181344,3.740057,0.4657544,0.4458628,0.0883828,1.96971824,1.0848349,0.8207904077,1.616183794
noSynCV,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,1,1,1,0.4657544,0.4458628,0.0883828,1,1,0,1
noSynCVo13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,1,1,1,0.4657544,0.4458628,0.0883828,1,1,0,1
noSynCVo1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,1,1,1,0.4657544,0.4458628,0.0883828,1,1,0,1
noSynCVo6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,1,1,1,0.4657544,0.4458628,0.0883828,1,1,0,1
CV1,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.5800851,0.5832714,3.515658,0.1428172,0.6548646,0.2023182,2.771469203,1.17609152,1.001837059,1.4503457
CV1o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.5800851,0.5832714,3.515658,0.1428172,0.6548646,0.2023182,2.771469203,1.17609152,1.001837059,1.4503457
CV1o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.5800851,0.5832714,3.515658,0.1428172,0.6548646,0.2023182,2.771469203,1.17609152,1.001837059,1.4503457
CV1o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.5800851,0.5832714,3.515658,0.1428172,0.6548646,0.2023182,2.771469203,1.17609152,1.001837059,1.4503457
CV5,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.03389623,0.05499577,7.770528,0.5135488,0.4674898,0.0189614,1.146914275,0.1904574194,5.533358493,2.042793338
CV5o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.03389623,0.05499577,7.770528,0.5135488,0.4674898,0.0189614,1.146914275,0.1904574194,5.533358493,2.042793338
CV5o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.03389623,0.05499577,7.770528,0.5135488,0.4674898,0.0189614,1.146914275,0.1904574194,5.533358493,2.042793338
CV5o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.03389623,0.05499577,7.770528,0.5135488,0.4674898,0.0189614,1.146914275,0.1904574194,5.533358493,2.042793338
CV10,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.05520995,0.163618,54.45345,0.5310638,0.4648596,0.0040766,12.10190896,0.3273643381,10.57947411,13.7299009
CV10o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.05520995,0.163618,54.45345,0.5310638,0.4648596,0.0040766,12.10190896,0.3273643381,10.57947411,13.7299009
CV10o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.05520995,0.163618,54.45345,0.5310638,0.4648596,0.0040766,12.10190896,0.3273643381,10.57947411,13.7299009
CV10o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.05520995,0.163618,54.45345,0.5310638,0.4648596,0.0040766,12.10190896,0.3273643381,10.57947411,13.7299009
CV1d1,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d1o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d1o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d1o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d5,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d5o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d5o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d5o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d7,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d7o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d7o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d7o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d9,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
CV1d9o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
